descriptor,scaler,n_components,explained_variance,peak_mb,time_s
efficientnet-b7,standard,1536,0.9243139624595642,15524.263704299927,459.06507205963135
efficientnet-b7,standard,2048,0.9656661152839661,17975.587262153625,617.4265506267548
efficientnet-b7,minmax,1536,0.9248230457305908,15524.214761734009,409.8286015987396
efficientnet-b7,minmax,2048,0.9659852981567383,17975.58721637726,578.2326729297638
