descriptor,scaler,method,n_clusters,calinski_harabasz,davies_bouldin,n_noise,ch_norm,db_norm,score
vdc_type,minmax,kmeans,5,107465.98,1.805602588073389,0,0.9999999999999905,0.9431282422200629,1.9431282422200533
vdc_type,standard,kmeans,5,94663.945,1.6192786452922416,0,0.8775760519307229,0.9999999996947694,1.8775760516254922
vdc_type,minmax,minibatch_kmeans,5,103143.79,1.9430633285121983,0,0.9586675427691277,0.901171026331217,1.8598385691003447
vdc_type,standard,minibatch_kmeans,5,90761.24,1.6769592054557148,0,0.8402550670834177,0.9823941312290331,1.8226491983124506
